"University","Title","Abstract","Relevance Score","Publication URL","Coordinates"
"""Aston_University""","""Making motes intelligent - Research Explorer : Aston University""","""Adaptive Communications Networks Research Group\nAbstract\nIn-Motes is a mobile agent middleware that generates an intelligent framework for deploying applications in Wireless Sensor Networks (WSNs). In-Motes is based on the injection of mobile agents into the network that can migrate or clone following specific rules and performing application specific tasks. By doing so, each mote is given a certain degree of perception, cognition and control, forming the basis for its intelligence. Our middleware incorporates technologies such as Linda-like tuplespaces and federated system architecture in order to obtain a high degree of collaboration and coordination for the agent society. A set of behavioral rules inspired by a community of bacterial strains is also generated as the means for robustness of the WSN. In this paper, we present In-Motes and provide a detailed evaluation of its implementation for MICA2 motes.\n""","1.0","""https://research.aston.ac.uk/portal/en/researchoutput/making-motes-intelligent(8335e874-d732-4a9e-a22c-001a5f291088).html""","[-1.888803,52.487018]"
"""University_of_Lancaster""","""MIMO-NOMA design for small packet transmission in the Internet of Things - Research Portal | Lancaster University""","""MIMO-NOMA design for small packet transmission in the Internet of Things\nResearch output: Contribution to journal › Journal article\nPublished\n<mark>Journal publication date</mark>\n5/04/2016\nEnglish\nAbstract\nA feature of the Internet of Things (IoT) is that some users in the system need to be served quickly for small packet transmission. To address this requirement, a new multiple-input multiple-output non-orthogonal multiple access (MIMO-NOMA) scheme is designed in this paper, where one user is served with its quality of service requirement strictly met, and the other user is served opportunistically by using the NOMA concept. The novelty of this new scheme is that it confronts the challenge that the existing MIMO-NOMA schemes rely on the assumption that users' channel conditions are different, a strong assumption which may not be valid in practice. The developed precoding and detection strategies can effectively create a significant difference between the users' effective channel gains, and therefore, the potential of NOMA can be realized even if the users' original channel conditions are similar. Analytical and numerical results are provided to demonstrate the performance of the proposed MIMO-NOMA scheme.\nLancaster University Bailrigg Lancaster United Kingdom LA1 4YW\n+44 (0)1524 65201\n""","2.5400085","""http://www.research.lancs.ac.uk/portal/en/publications/mimonoma-design-for-small-packet-transmission-in-the-internet-of-things(60141433-e238-44be-9c6d-b6b921cb41f6).html""","[-2.787729,54.010394]"
"""University_of_Warwick""","""Understanding source location privacy protocols in sensor networks via perturbation of time series - IEEE Conference Publication""","""Privacy & Opting Out of Cookies\nA not-for-profit organization, IEEE is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.\n© Copyright 2017 IEEE - All rights reserved. Use of this web site signifies your agreement to the terms and conditions.\n""","1.0","""http://ieeexplore.ieee.org/document/8057122/""",
"""King's_College_London""","""Industrial wireless sensor networks 2016 - Research Portal, King's College, London""","""Industrial wireless sensor networks 2016\nResearch output: Contribution to journal › Editorial\nQindong Sun ; Shancang Li ; Shanshan Zhao ; Hongjian Sun ; Li Xu ; Arumugam Nallanathan\nE-pub ahead of print - 3 Jun 2017\nDocuments\nKaras, D. S., Boulogeorgos, A. A. A., Karagiannidis, G. K. & Nallanathan, A. 24 Aug 2017 In : IEEE WIRELESS COMMUNICATIONS LETTERS.\nResearch output: Contribution to journal › Article\nXu, L., Nallanathan, A. & Yang, Y. 11 Aug 2017 In : IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY. 66, 8\nResearch output: Contribution to journal › Article\nNguyen, V-D., Duong, T. Q., Shin, O-S., Nallanathan, A. & Karagiannidis, G. K. 31 Jul 2017 IEEE Proceeding of ICC'2017. IEEE , 6 p.\nResearch output: Chapter in Book/Report/Conference proceeding › Conference paper\n""","1.0","""https://kclpure.kcl.ac.uk/portal/en/publications/industrial-wireless-sensor-networks-2016(3e420dab-d834-44d8-8371-2814cb2c85d3).html""","[-0.116938,51.510732]"
"""Imperial_College_London""","""Distributed Networking in Autonomic Solar Powered Wireless Sensor Networks - IEEE Journals & Magazine""","""Privacy & Opting Out of Cookies\nA not-for-profit organization, IEEE is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.\n© Copyright 2018 IEEE - All rights reserved. Use of this web site signifies your agreement to the terms and conditions.\nIEEE Account\n""","1.0","""http://ieeexplore.ieee.org/document/6708555/""","[-0.178219,51.500505]"
"""University_of_Surrey""","""A Resource Mobility Scheme for Service-Continuity in the Internet of Things - IEEE Conference Publication""","""Privacy & Opting Out of Cookies\nA not-for-profit organization, IEEE is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.\n© Copyright 2018 IEEE - All rights reserved. Use of this web site signifies your agreement to the terms and conditions.\n""","1.6349978","""http://ieeexplore.ieee.org/document/6468324/""","[-0.589514,51.242722]"
"""University_of_Lancaster""","""Radio range adjustment for energy efficient wireless sensor networks. - Research Portal | Lancaster University""","""Radio range adjustment for energy efficient wireless sensor networks.\nResearch output: Contribution to journal › Journal article\nPublished\n<mark>Journal publication date</mark>\n01/2006\nEnglish\nAbstract\nIn wireless ad hoc sensor networks, energy use is in many cases the most important constraint since it corresponds directly to operational lifetime. Topology management schemes such as GAF put the redundant nodes for routing to sleep in order to save the energy. The radio range will affect the number of neighbouring nodes, which collaborate to forward data to a base station or sink. In this paper we study a simple linear network and deduce the relationship between optimal radio range and traffic. We find that half of the power can be saved if the radio range is adjusted appropriately compared with the best case where equal radio ranges are used.\nBibliographic note\nThe final, definitive version of this article has been published in the Journal, Ad Hoc Networks 41 (1), 2006, © ELSEVIER.\nLancaster University Bailrigg Lancaster United Kingdom LA1 4YW\n+44 (0)1524 65201\n""","1.0","""http://www.research.lancs.ac.uk/portal/en/publications/radio-range-adjustment-for-energy-efficient-wireless-sensor-networks(95a3db70-047e-4bdf-b73e-ddaffad26cd0).html""","[-2.787729,54.010394]"
"""University_of_Surrey""","""A mediated gossiping mechanism for large-scale sensor networks - IEEE Conference Publication""","""Privacy & Opting Out of Cookies\nA not-for-profit organization, IEEE is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.\n© Copyright 2018 IEEE - All rights reserved. Use of this web site signifies your agreement to the terms and conditions.\n""","1.0","""http://ieeexplore.ieee.org/document/6162480/""","[-0.589514,51.242722]"
"""University_of_Lancaster""","""Sensor Networks of Intelligent Devices. - Research Portal | Lancaster University""","""Sensor Networks of Intelligent Devices.\nResearch output: Contribution to conference › Conference paper\nPublished\n1/01/04 → …\nAbstract\nMaking wireless sensor networks work efficiently and effectively is a key technology challenge for the 21st century. We show that novel decentralized evolutionary algorithms, that we proposed for cluster management, are a potential means of automating the management of sensor networks. Specifically we show the algorithm can enable preferential and reliable delivery of the most important data using only high level user priorities as inputs.\nLancaster University Bailrigg Lancaster United Kingdom LA1 4YW\n+44 (0)1524 65201\n""","1.0","""http://www.research.lancs.ac.uk/portal/en/publications/sensor-networks-of-intelligent-devices(4dc364e0-c51e-4b3f-85b8-003d771362f5).html""","[-2.787729,54.010394]"
"""University_of_Exeter""","""The Internet of Things: shaping the new Internet space - Mustafee - 2015 - Concurrency and Computation: Practice and Experience - Wiley Online Library""","""Concurrency and Computation: Practice and Experience\nSpecial Issue: Combined Special Issues on The Internet of Things: shaping the new Internet space and Advances on cloud services and cloud computing\nEditorial\nThe Internet of Things: shaping the new Internet space\nAuthors\nCited by (CrossRef): 3 articles Check for updates\nCitation tools\nArticles related to the one you are viewing\nCiting Literature\nNumber of times cited: 3\n1\nBehrouz Pourghebleh, Nima Jafari Navimipour, Data aggregation mechanisms in the Internet of things: a systematic review of the literature and recommendations for future research, Journal of Network and Computer Applications, 2017\nCrossRef\n2\nZhangbing Zhou, Deng Zhao, Lu Liu, Patrick C.K. Hung, Energy-aware composition for wireless sensor networks as a service, Future Generation Computer Systems, 2017\nCrossRef\n3\nFrancesco Piccialli, Paolo Benedusi, Flora Amato, S-InTime: A social cloud analytical service oriented system, Future Generation Computer Systems, 2016\n""","2.2225075","""http://onlinelibrary.wiley.com/doi/10.1002/cpe.3483/abstract""","[-3.533832,50.735262]"
