"University","Title","Abstract","Relevance Score","Publication URL","Coordinates"
"""University_College_London""","""Modeling electric vehicle benefits connected to smart grids - IEEE Conference Publication""","""Privacy & Opting Out of Cookies\nA not-for-profit organization, IEEE is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.\n© Copyright 2018 IEEE - All rights reserved. Use of this web site signifies your agreement to the terms and conditions.\n""","1.0","""http://ieeexplore.ieee.org/document/6043044/""","[-0.133363,51.525635]"
"""University_of_Liverpool""","""Speed Sensorless Induction Motor Drive Control for Electric Vehicles  - The University of Liverpool Repository""","""The University of Liverpool Repository\nSpeed Sensorless Induction Motor Drive Control for Electric Vehicles\nRind, SJ (2017) Speed Sensorless Induction Motor Drive Control for Electric Vehicles. PhD thesis, University of Liverpool.\nText\nDownload (6MB)\nAbstract\nFast diminishing fossil fuel resources, deterioration in air quality and concerns for environmental protection, continuously promote the interest in the research and development of Alternative Energy Vehicles (AEVs). Traction motor drive is an integral part and common electric propulsion system in all kinds of AEVs. It plays an utmost significant role in the development of electrified transport industry. Application of Induction Motor (IM) drive is not only limited to the domestic and industrial applications but also has an ubiquitous influence in the modern electrified transport sector. IM is characterized by a simple and rugged structure, operational reliability, low maintenance, low cost, ability to operate in a hostile environment and high dynamic performance. However, IM is one of the widely accepted choices by Electric Vehicles (EVs) manufacturer. At present, Variable speed IM drive is almost replacing the traditional DC motor drive in a wide range of applications including EVs where a fast dynamic response is required. It became possible after the technological advancement and development in the field of power switching devices, digital signal processing and recently intelligent control systems have led to great improvements in the dynamic performance of traction drives. Speed Sensorless control strategies offer better system’s reliability and robustness and reduce the drive cost, size and maintenance requirements. Sensorless IM drives have been applied on medium and high speed applications successfully. However, instability at low speed and under different load disturbance conditions are still a critical problem in this research field and has not been robustly achieved. Some application such as traction drives and cranes are required to maintain the desired level of torque down to low speed levels with uncertain load torque disturbance conditions. Speed and torque control is more important particularly in motor-in-wheel traction drive train configuration EVs where vehicle wheel rim is directly connected to the motor shaft to control the speed and torque. The main purpose of this research is to improve the dynamic performance of conventional proportional-integral controller based model reference adaptive system (PI-MRAS) speed observer by using several speed profiles under different load torque disturbance conditions, which is uncertain during the whole vehicle operation apart from the vehicle own load. Since, vehicle has to face different road conditions and aerodynamic effects which continuously change the net load torque effect on the traction drive. This thesis proposes different novel methods based on the fuzzy logic control (FLC) and sliding mode control (SMC) with rotor flux MRAS. Numerous simulations and experimental tests designed with respect to the EV operation are carried out to investigate the speed estimation performance of the proposed schemes and compared with the PI-MRAS speed observer. For simulation and experimental purpose, Matlab-Simulink environment and dSPACE DS-1104 controller board are used respectively. The results presented in this thesis show great performance improvements of the proposed schemes in speed estimation & load disturbance rejection capability and provide a suitable choice of speed sensoless IM drive control for EVs with cost effectiveness.\nItem Type:\n""","1.0","""https://livrepository.liverpool.ac.uk/3008062/""","[-2.96826,53.408471]"
"""The_University_of_Manchester""","""Aviation and shipping - privileged again? - Tyndall Centre Briefing note 47 | Research Explorer | The University of Manchester""","""Aviation and shipping - privileged again? - Tyndall Centre Briefing note 47\nResearch output: Book/Report › Commissioned report\nAuthors:\n""","1.0","""https://www.research.manchester.ac.uk/portal/en/publications/aviation-and-shipping--privileged-again--tyndall-centre-briefing-note-47(24c87cb7-28fa-4bd6-ad2a-baec08a80f54).html""","[-2.233676,53.466751]"
"""Newcastle_University""","""Developing a local research strategy for city logistics on an academic campus: International Journal of Urban Sciences: Vol 18, No 2""","""Articles\nDeveloping a local research strategy for city logistics on an academic campus\nGet access /doi/full/10.1080/12265934.2014.926830?needAccess=true\nAbstract\nThis paper investigates the relative suitability of data and methodologies to assess the determinants of urban freight activity, based on a case study that has been carried out in a city centre university campus, in a medium-sized British city. Data, from procurement/purchasing and traffic surveys, have been used to set a baseline model of freight activity in the development of Delivery and Servicing Plans. A focused literature review of urban freight studies has been completed, in order to address identified urban freight challenges in meeting sustainability objectives. The study demonstrates imperfect data and raises questions that identify new research opportunities with new data collection, including focus group interviews, staff questionnaires, and stated preference surveys. These and other methodologies are identified to address the data gap, in order to develop a localized research strategy adapted to a local campus sustainability initiative.\n""","0.028544813","""http://www.tandfonline.com/doi/abs/10.1080/12265934.2014.926830""","[-1.615713,54.98032]"
"""Imperial_College_London""","""DIFFUSIVE TRANSPORT IN PERIODIC POTENTIALS: UNDERDAMPED DYNAMICS | Fluctuation and Noise Letters , Vol 08, No 02 | World Scientific""","""DIFFUSIVE TRANSPORT IN PERIODIC POTENTIALS: UNDERDAMPED DYNAMICS\nDepartment of Mathematics, Imperial College London, London SW7 2AZ, UK\nA. Vogiannou\nRevised: 2 May 2008\nAccepted: 2 May 2008\nIn this paper we present a systematic and rigorous method for calculating the diffusion tensor for a Brownian particle moving in a periodic potential which is valid in arbitrary dimensions and for all values of the dissipation. We use this method to obtain an explicit formula for the diffusion coefficient in one dimension which is valid in the underdamped limit, and we also obtain higher order corrections to the Lifson-Jackson formula for the diffusion coefficient in the overdamped limit. A numerical method for calculating the diffusion coefficient is also developed and is shown to perform extremely well for all values of the dissipation.\nKeywords: Brownian motions; periodic potentials; multiscale methods; underdamped dynamics\nCited by (16):\nSergey V. Kapranov , Guennadi A. Kouzaev .  (2018) Effects of microwave electric fields on the translational diffusion of dipolar molecules in surface potential: A simulation study. Surface Science 667, 66-78.  Online publication date: 1-Jan-2018. [Crossref]\nHaohua Wen , A.A. Semenov , C.H. Woo .  (2017) Many-body effects in the mobility and diffusivity of interstitial solute in a crystalline solid: The case of helium in BCC tungsten. Journal of Nuclear Materials 493, 21-29.  Online publication date: 1-Sep-2017. [Crossref]\nC. H. Woo , Haohua Wen .  (2017) Quantum statistical effects in the mass transport of interstitial solutes in a crystalline solid. Physical Review E 96:3.  Online publication date: 1-Sep-2017. [Crossref]\nAntonio Piscitelli , Massimo Pica Ciamarra .  (2017) Escape rate and diffusion of a Stochastically Driven particle. Scientific Reports 7, 41442.  Online publication date: 25-Jan-2017. [Crossref]\nHadiseh Safdari , Andrey G. Cherstvy , Aleksei V. Chechkin , Anna Bodrova , Ralf Metzler .  (2017) Aging underdamped scaled Brownian motion: Ensemble- and time-averaged particle displacements, nonergodicity, and the failure of the overdamping approximation. Physical Review E 95:1.  Online publication date: 1-Jan-2017. [Crossref]\nMassimo Pica Ciamarra , Antonio Piscitelli .  (2017) Unifying description of the damping regimes of a stochastic particle in  a periodic potential. SciPost Physics 3:3.  Online publication date: 1-Jan-2017. [Crossref]\nA. Abdulle , G. A. Pavliotis , U. Vaes .  (2017) Spectral Methods for Multiscale Stochastic Differential Equations. SIAM/ASA Journal on Uncertainty Quantification 5:1, 720-761.  Online publication date: 1-Jan-2017. [Crossref]\n""","0.040835757","""https://www.worldscientific.com/doi/abs/10.1142/S0219477508004453""","[-0.178219,51.500505]"
"""Newcastle_University""","""Engaging City Stakeholders to Achieve Efficient and Environmentally Friendly Urban Freight Movements - Towards Innovative Freight and Logistics -                       Zunder                    - Wiley Online Library""","""Towards Innovative Freight and Logistics\nAdditional Information\nHow to Cite\nZunder , T., Aditjandra , P., Schoemaker , J., Laparidou , K., Vaghi , C. and Österle , I. (2016) Engaging City Stakeholders to Achieve Efficient and Environmentally Friendly Urban Freight Movements, in Towards Innovative Freight and Logistics (eds C. Blanquart, U. Clausen and B. Jacob), John Wiley & Sons, Inc., Hoboken, NJ, USA. doi: 10.1002/9781119307785.ch19\nPublication History\nPublished Online: 25 JUN 2016\nPublished Print: 27 MAY 2016\nISBN Information\nurban freight movements\nSummary\nThe chapter describes and analyzes the process of design and monitoring framework (DMF) application in three city regions in Europe: Como, Italy; Berlin, Germany; and Newcastle upon Tyne, UK. The three cities have been engaging with city stakeholders to address urban freight issues via a series of stakeholder workshops. Three separate DMF matrices have been completed which have demonstrated the different preferences of city stakeholders in engaging with clean urban freight solutions. The DMF is a known methodology for project design and monitoring used by international organizations such as the Asian Development Bank. The methodology is the core link between project design, implementation, and evaluation and the basis for the project performance management system (PPMS) used by the ADB. A public private partnership (PPP) is one of the effective transport policies being promoted to address urban freight transport issues.\n""","3.1385798","""http://onlinelibrary.wiley.com/doi/10.1002/9781119307785.ch19/summary?systemMessage=Wiley+Online+Library+usage+report+download+page+will+be+unavailable+on+Friday+24th+November+2017+at+21%3A00+EST+%2F+02.00+GMT+%2F+10%3A00+SGT+%28Saturday+25th+Nov+for+SGT+""","[-1.615713,54.98032]"
"""University_of_Warwick""","""Defining the accuracy of real-world range estimations of an electric vehicle - IEEE Conference Publication""","""Privacy & Opting Out of Cookies\nA not-for-profit organization, IEEE is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.\n© Copyright 2018 IEEE - All rights reserved. Use of this web site signifies your agreement to the terms and conditions.\n""","1.0","""http://ieeexplore.ieee.org/document/6958105/""",
"""Aston_University""","""An examination of the development of LTL hub-and-spoke freight distribution systems - Research Explorer : Aston University""","""An examination of the development of LTL hub-and-spoke freight distribution systems\nResearch output: Chapter in Book/Report/Conference proceeding › Conference contribution\nOperations & Information Management Research Group\nAbstract\nOver recent years, hub-and-spoke distribution techniques have attracted widespread research attention. Despite there being a growing body of literature in this area there is less focus on the spoke-terminal element of the hub-and-spoke system as being a key component in the overall service received by the end-user. Current literature is highly geared towards discussing bulk optimization of freight units rather than to the more discrete and individualistic profile characteristics of shared-user Less-than-truckload (LTL) freight. In this paper, a literature review is presented to review the role hub-and-spoke systems play in meeting multi-profile customer demands, particularly in developing sectors with more sophisticated needs, such as retail. The paper also looks at the use of simulation technology as a suitable tool for analyzing spoke-terminal operations within developing hub-and spoke systems.\n""","2.6359653","""https://research.aston.ac.uk/portal/en/researchoutput/an-examination-of-the-development-of-ltl-hubandspoke-freight-distribution-systems(a277c04c-cf88-4767-93ac-7f8114d28a65).html""","[-1.888803,52.487018]"
"""Imperial_College_London""","""Voltage Control for Enhanced Power Electronic Efficiency in Series Hybrid Electric Vehicles - IEEE Journals & Magazine""","""Privacy & Opting Out of Cookies\nA not-for-profit organization, IEEE is the world's largest technical professional organization dedicated to advancing technology for the benefit of humanity.\n© Copyright 2018 IEEE - All rights reserved. Use of this web site signifies your agreement to the terms and conditions.\nIEEE Account\n""","1.0","""http://ieeexplore.ieee.org/document/7539595/""","[-0.178219,51.500505]"
"""Newcastle_University""","""Advances in the competitiveness of pan-European rail freight services: findings from a case study - Islam - 2015 - R&D Management - Wiley Online Library""","""Advances in the competitiveness of pan-European rail freight services: findings from a case study\nAuthors\nE-mail address: dewan.islam@newcastle.ac.uk\nFreight Logistics Research Group, NewRail – Centre for Railway Research, University of Newcastle Upon Tyne, Newcastle Upon Tyne, UK\nCited by (CrossRef): 2 articles Check for updates\nCitation tools\nFunding Information\nAbstract\nThe European rail freight market is ostensibly a free market where, from 1 January 2007, both incumbent and new-entrant operators are able to compete on every line and in every European Union country. The main objective of this research paper is to assess the advances in the competitiveness of the pan-European rail freight services operated by a new-entrant (private) operator. Its main focus is to assess and contribute to the understanding of the advances towards competitiveness and the future prospects in the open European rail freight market, including dealing with challenges (e.g. dormant and departure of partners, suspension of the project, indistinct roles and responsibilities of operating partners) at different phases of the research, development and service offerings, that will be an important contribution to the Research and Development (R&D) policy and management arena in the Europe rail freight transport sector. The current research applies a case study research approach. The assessment of the rail freight service is performed by conducting two phases: first, a comparison of the progress between first and second year of the REorganisation of Transport networks by advanced RAil freight Concepts (RETRACK) rail freight service, operated by a new entrant and conducted on the corridor between two hubs – Cologne, Germany, and Györ, Hungary, and secondly a comparison of the opinions of customers on the RETRACK service and its competitors. From the comparative study between the first and second years, the study finds that the new-entrant operator was able to offer an increased number of services by consolidating cargo from satellite connections at both ends of the operational corridor by adopting a pragmatic and flexible approach. The customer satisfaction survey suggests that the new-entrant operator offered better service in terms of price, transit time, reliability and information flow/management compared to its competitors' services (offered by incumbent rail operators) on the corridor. However, their service was inferior to that of its competitors, in terms of frequency and availability of service. These less-well performed service factors have improved gradually over time. The study suggests that intra-rail competition has improved, but that inter-modal completion is yet to be achieved. The ups and downs of the project provide important lessons for R&D management, academia and policy makers. The study suggests that a pan-European rail freight service can be efficiently and effectively run by new-entrant operators, and this will lead to more intra-modal competition. However, they have yet to achieve competitiveness that will result in a shift of cargo from road to rail by offering an improved service that at least matches the major attributes of road freight service, e.g. price, transit time, door-to-door service and working in a collaborative way with other actors.\n""","2.2972329","""http://onlinelibrary.wiley.com/doi/10.1111/radm.12135/abstract?systemMessage=Wiley+Online+Library+usage+report+download+page+will+be+unavailable+on+Friday+24th+November+2017+at+21%3A00+EST+%2F+02.00+GMT+%2F+10%3A00+SGT+%28Saturday+25th+Nov+for+SGT+""","[-1.615713,54.98032]"
"""Imperial_College_London""","""Determinants of Train Service Costs in Metro Operations | Transportation Research Record: Journal of the Transportation Research Board""","""Determinants of Train Service Costs in Metro Operations\nPDF\nAbstract\nResearch about service operation costs in the rail sector has usually focused on freight, high-speed, or national passenger rail, but has seldom included the study of the cost of urban rail (metro) rapid transit. This study analyzed the determinants of train service costs for a panel of 24 metro systems worldwide. The study used econometric modeling to assess the relative weight of each factor. Wages and electricity prices and consumption were found to have statistically significant elasticities and evidence of potential substitution effects between factors. Other factors, such as driver productivity, network length, percentage of rolling stock with air conditioning, and rolling stock age, also showed statistically significant elasticities. The study found evidence of strong returns to density and returns to scale in the provision of train service outputs (for example, car kilometers, passenger journeys, and train hours).\n< >\nTransportation Research Record: Journal of the Transportation Research Board\nTransportation Research Record: Journal of the Transportation Research Board\nPrint ISSN: 0361-1981\n""","1.0","""http://trrjournalonline.trb.org/doi/10.3141/2534-05""","[-0.178219,51.500505]"
"""UCL""","""Iris Publication""","""http://discovery.ucl.ac.uk/1385084/\nAbstract\nShip speed is a parameter that influences the energy efficiency of a ship. For this reason it has been considered as a parameter that could be used to reduce the carbon emissions of the existing and future global fleet of ships. Operational speed is an economic function of market conditions (freight rate) and the costs of operation (e.g., bunker fuel costs, cost of additional ships to meet the equivalent output) because along with the ship size, speed determines the industry’s supply. Therefore speed can also be a cost-effective increase in energy efficiency for the ship owner and operator, although the level to which this is attractive will vary over time according to the agent’s tradeoffs between revenue and cost. This paper reviews existing literature in order to highlight some of the common assumptions and ideas in the pertinent subject areas: energy efficiency, engineering, economics, environmental impact. Models are developed and their initial results presented, in order to interrogate the sensitivities of some of these assumptions. There is also discussion of the subject of speed in the evolving policy and regulatory discussion at IMO.\nPublication data is maintained in RPS. Visit https://rps.ucl.ac.uk\n› More search options\n""","0.028544813","""http://iris.ucl.ac.uk/iris/publication/850318/1""",
